Sun Feb 24 18:07:46 2019    /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/PEF/profiling/results.txt

         960982 function calls (955396 primitive calls) in 18.116 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 byewait/src/handlers/restaurantesHandler.py:11(RestaurantesHandler)
       32    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/cryptography/hazmat/primitives/serialization.py:148(_ssh_read_next_mpint)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/cryptography/hazmat/primitives/serialization.py:183(PublicFormat)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/tornado/httpserver.py:236(_HTTPRequestContext)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/cryptography/hazmat/backends/openssl/hashes.py:13(_HashContext)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/tornado/template.py:580(_ControlBlock)
        1    0.000    0.000    0.004    0.004 byewait/src/exceptions/exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.5/enum.py:453(Enum)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/asn1crypto/core.py:2370(OctetString)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.5/asyncio/tasks.py:1(<module>)
       42    0.001    0.000    0.002    0.000 /usr/lib/python3.5/logging/__init__.py:243(__init__)
      480    0.001    0.000    0.001    0.000 /usr/lib/python3.5/asyncio/futures.py:258(result)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/cryptography/hazmat/primitives/asymmetric/ec.py:177(SECT283K1)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/idna/core.py:31(InvalidCodepointContext)
       54    0.000    0.000    0.001    0.000 /usr/lib/python3.5/asyncio/coroutines.py:188(coroutine)
      362    0.001    0.000    0.003    0.000 /usr/lib/python3.5/socket.py:87(_intenum_converter)
       36    0.000    0.000    0.000    0.000 /usr/lib/python3.5/selectors.py:246(unregister)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.5/email/_policybase.py:99(_extend_docstrings)
        1    0.000    0.000    0.001    0.001 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/asn1crypto/keys.py:15(<module>)
      110    0.002    0.000    0.002    0.000 /usr/lib/python3.5/json/decoder.py:345(raw_decode)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/tornado/platform/asyncio.py:184(make_current)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha512}
      762    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
    13199    0.004    0.000    0.004    0.000 {built-in method _struct.unpack}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.5/ctypes/__init__.py:163(c_short)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/Crypto/Util/asn1.py:23(<module>)
       62    0.000    0.000    0.003    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/tornado/iostream.py:1166(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.5/ipaddress.py:1362(IPv4Interface)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.5/email/_policybase.py:267(Compat32)
     1376    0.001    0.000    0.001    0.000 /usr/lib/python3.5/logging/__init__.py:211(_acquireLock)
       62    0.000    0.000    0.001    0.000 /usr/lib/python3.5/typing.py:1550(__new__)
        1    0.000    0.000    0.004    0.004 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/cryptography/hazmat/primitives/hashes.py:5(<module>)
       30    0.000    0.000    0.005    0.000 /usr/lib/python3.5/logging/__init__.py:1281(warning)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/jwt/exceptions.py:37(MissingRequiredClaimError)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.5/asyncio/protocols.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.5/multiprocessing/context.py:291(ForkServerContext)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.5/threading.py:355(notify_all)
       12    0.000    0.000    0.096    0.008 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/jwt/algorithms.py:312(sign)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/encodings/idna.py:253(IncrementalDecoder)
     2934    0.003    0.000    0.012    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/pymysql/connections.py:1398(_check_packet_is_eof)
        1    0.000    0.000    0.004    0.004 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/cryptography/x509/general_name.py:5(<module>)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/cryptography/x509/extensions.py:72(Extensions)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/cryptography/hazmat/primitives/asymmetric/dh.py:185(DHPublicKey)
        1    0.000    0.000    0.001    0.001 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/cryptography/hazmat/backends/openssl/hmac.py:5(<module>)
      588    0.000    0.000    0.000    0.000 /usr/lib/python3.5/threading.py:72(RLock)
        1    0.000    0.000    0.007    0.007 /usr/lib/python3.5/inspect.py:27(<module>)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/Crypto/Random/Fortuna/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/cryptography/hazmat/backends/openssl/x509.py:26(_Certificate)
       24    0.000    0.000    0.008    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/pymysql/connections.py:774(_send_autocommit_mode)
       62    0.000    0.000    0.001    0.000 /usr/lib/python3.5/email/utils.py:167(format_datetime)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/asn1crypto/core.py:3032(UTF8String)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/Crypto/Hash/SHA256.py:52(SHA256Hash)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/Crypto/pct_warnings.py:30(<module>)
       12    0.000    0.000    0.001    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/cryptography/hazmat/backends/openssl/backend.py:1009(load_pem_private_key)
      634    0.001    0.000    0.001    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/pymysql/connections.py:470(__getattr__)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/Crypto/Util/asn1.py:112(DerInteger)
